t;w;x;y;z;ax;ay;az
1024;0.01;0.05;-1.00;0.01;111;-146;-8699
1042;0.01;0.05;-1.00;0.01;111;-145;-8700
1059;0.01;0.05;-1.00;0.01;114;-141;-8705
1076;0.01;0.05;-1.00;0.01;109;-142;-8703
1094;0.01;0.05;-1.00;0.01;103;-140;-8700
1112;0.01;0.05;-1.00;0.01;103;-144;-8700
1128;0.01;0.05;-1.00;0.01;105;-145;-8700
1146;0.01;0.05;-1.00;0.01;99;-145;-8701
1165;0.01;0.05;-1.00;0.01;98;-141;-8694
1182;0.01;0.05;-1.00;0.01;97;-139;-8694
1199;0.01;0.05;-1.00;0.01;105;-140;-8696
1216;0.01;0.05;-1.00;0.01;105;-141;-8686
1239;0.01;0.05;-1.00;0.01;106;-145;-8683
1256;0.01;0.05;-1.00;0.01;107;-144;-8685
1274;0.01;0.05;-1.00;0.01;107;-144;-8686
1291;0.01;0.05;-1.00;0.01;108;-145;-8685
1309;0.01;0.05;-1.00;0.01;110;-142;-8685
1327;0.01;0.05;-1.00;0.01;110;-142;-8687
1344;0.01;0.05;-1.00;0.01;115;-147;-8689
1362;0.01;0.05;-1.00;0.01;113;-149;-8696
1380;0.01;0.05;-1.00;0.01;118;-147;-8695
1397;0.01;0.05;-1.00;0.01;120;-146;-8696
1415;0.01;0.05;-1.00;0.01;120;-142;-8694
1432;0.01;0.05;-1.00;0.01;124;-141;-8688
1453;0.01;0.05;-1.00;0.01;119;-144;-8686
1472;0.01;0.05;-1.00;0.01;118;-142;-8687
1490;0.01;0.05;-1.00;0.01;119;-141;-8692
1506;0.01;0.05;-1.00;0.01;117;-141;-8696
1523;0.01;0.05;-1.00;0.01;113;-140;-8695
1543;0.01;0.05;-1.00;0.01;108;-138;-8694
1560;0.01;0.05;-1.00;0.01;110;-139;-8691
1584;0.01;0.05;-1.00;0.01;114;-136;-8693
1601;0.01;0.05;-1.00;0.01;114;-142;-8694
1621;0.01;0.05;-1.00;0.01;113;-145;-8696
1638;0.01;0.05;-1.00;0.01;109;-148;-8702
1654;0.01;0.05;-1.00;0.01;106;-148;-8705
1672;0.01;0.05;-1.00;0.01;106;-150;-8709
1694;0.01;0.05;-1.00;0.01;103;-145;-8703
1711;0.01;0.05;-1.00;0.01;107;-145;-8702
1727;0.01;0.05;-1.00;0.01;109;-141;-8706
1747;0.01;0.05;-1.00;0.01;110;-141;-8700
1765;0.01;0.05;-1.00;0.01;108;-144;-8698
1781;0.01;0.05;-1.00;0.01;108;-147;-8696
1798;0.01;0.05;-1.00;0.01;110;-150;-8696
1817;0.01;0.05;-1.00;0.01;109;-148;-8692
1836;0.01;0.05;-1.00;0.01;109;-149;-8688
1852;0.01;0.05;-1.00;0.01;107;-146;-8684
1868;0.01;0.05;-1.00;0.01;106;-142;-8691
1888;0.01;0.05;-1.00;0.01;103;-139;-8690
1909;0.01;0.05;-1.00;0.01;102;-145;-8695
1926;0.01;0.05;-1.00;0.01;99;-147;-8694
1943;0.01;0.05;-1.00;0.01;95;-140;-8700
1963;0.01;0.05;-1.00;0.01;100;-138;-8695
1980;0.01;0.05;-1.00;0.01;99;-138;-8697
1996;0.01;0.05;-1.00;0.01;101;-137;-8694
2015;0.01;0.05;-1.00;0.01;106;-141;-8687
2033;0.01;0.05;-1.00;0.01;110;-141;-8684
2051;0.01;0.05;-1.00;0.01;110;-144;-8680
2067;0.01;0.05;-1.00;0.01;108;-145;-8682
2086;0.01;0.05;-1.00;0.01;109;-143;-8683
2104;0.01;0.05;-1.00;0.01;109;-143;-8691
2134;0.01;0.05;-1.00;0.01;115;-135;-8698
2151;0.01;0.05;-1.00;0.01;118;-135;-8698
2168;0.01;0.05;-1.00;0.01;111;-140;-8697
2187;0.01;0.05;-1.00;0.01;111;-143;-8700
2204;0.01;0.05;-1.00;0.01;110;-142;-8692
2222;0.01;0.05;-1.00;0.01;105;-142;-8691
2240;0.01;0.05;-1.00;0.01;104;-140;-8687
2258;0.01;0.05;-1.00;0.01;104;-134;-8682
2275;0.01;0.05;-1.00;0.01;104;-135;-8688
2293;0.01;0.05;-1.00;0.01;107;-137;-8692
2311;0.01;0.05;-1.00;0.01;106;-140;-8692
2328;0.01;0.05;-1.00;0.01;108;-142;-8690
2351;0.01;0.05;-1.00;0.01;107;-145;-8690
2369;0.01;0.05;-1.00;0.01;108;-148;-8690
